"","skc","date_rcd","s","real_cost","date_num","year_id","season_id","tiny_class_code","tag_price","yearmon","is_holiday","discount","pred","pred2","last_week_cost"
"1",100572118316,"2019-06-01",3,286.25,18048,2017,"None",27050401,98.75,6月 2019,0,1,157.349225448757,49.8325034106896,286.25
"2",101572119339,"2019-06-01",2,168.75,18048,2018,"None",27050401,98.75,6月 2019,0,1,175.18897893749,73.6521636150635,455
"3",101572120813,"2019-06-01",2,247.5,18048,2018,"None",27050401,123.75,6月 2019,0,0,133.907043226262,58.0774932485557,702.5
"4",102572120769,"2019-06-01",7,651.25,18048,2018,"None",27050401,98.75,6月 2019,0,1,175.16209051675,200.560546593428,1353.75
"5",102572120780,"2019-06-01",1,88.75,18048,2018,"None",27050401,98.75,6月 2019,0,1,175.162090516459,213.093592780538,1442.5
"6",102572121748,"2019-06-01",1,173.75,18048,2019,"None",27050401,173.75,6月 2019,0,0,193.626857990601,207.384981237055,1616.25
"7",102572121792,"2019-06-01",4,455,18048,2019,"None",27050401,123.75,6月 2019,0,1,213.968763024394,312.024468582691,2071.25
"8",102572121803,"2019-06-01",1,98.75,18048,2019,"None",27050401,98.75,6月 2019,0,0,130.806766079251,214.739376059506,1883.75
"9",113572120802,"2019-06-01",3,332.5,18048,2018,"None",27050401,123.75,6月 2019,0,1,195.806348947322,308.552031208302,2047.5
"10",113572120912,"2019-06-01",5,441.25,18048,2018,"None",27050401,98.75,6月 2019,0,1,174.866318307736,325.772484847691,2241.25
"11",133572117425,"2019-06-01",1,173.75,18048,2017,"None",27050401,173.75,6月 2019,0,0,157.060034458859,227.880529901727,1763.75
"12",133572119504,"2019-06-01",2,103.75,18048,2018,"None",27050401,98.75,6月 2019,0,1,174.328550699836,260.24392978254,1778.75
"13",133572120813,"2019-06-01",1,123.75,18048,2018,"None",27050401,123.75,6月 2019,0,0,133.046614993038,202.657076423983,1728.75
"14",173572119328,"2019-06-01",2,235,18048,2018,"None",27050401,123.75,6月 2019,0,1,194.193046049667,231.824652759846,1508.75
"15",173572119339,"2019-06-01",3,276.25,18048,2018,"None",27050401,98.75,6月 2019,0,1,173.253015412745,246.750323295595,1686.25
"16",190572120307,"2019-06-01",6,552.5,18048,2018,"None",27050401,98.75,6月 2019,0,1,172.79591288782,277.634983225265,1906.25
"17",190572120351,"2019-06-01",2,175,18048,2018,"None",27050401,98.75,6月 2019,0,1,172.795912886642,240.03584466305,1640
"18",190572121561,"2019-06-01",7,471.25,18048,2019,"None",27050401,73.75,6月 2019,0,1,169.722524116002,271.907605805255,1937.5
"19",196572119020,"2019-06-01",2,220,18048,2018,"None",27050401,123.75,6月 2019,0,1,193.574613265323,308.540325551966,2053.75
"20",196572120087,"2019-06-01",1,88.75,18048,2018,"None",27050401,98.75,6月 2019,0,1,172.63458260001,293.457293937857,2018.75
