"","skc","date_rcd","s","real_cost","date_num","is_holiday","year_id","season_id","tiny_class_code","tag_price","discount","is_discount","ie"
"1",100572118316,"2018-04-12",11,1040,17633,"0",2017,"None","27050401",98.75,0.0425776754890679,"1",120
"2",100572118316,"2018-04-13",11,1040,17634,"0",2017,"None","27050401",98.75,0.0425776754890679,"1",114
"3",100572118316,"2018-04-14",11,1040,17635,"0",2017,"None","27050401",98.75,0.0425776754890679,"1",112
"4",100572118316,"2018-04-15",12,1130,17636,"0",2017,"None","27050401",98.75,0.0464135021097046,"1",100
"5",100572118316,"2018-04-16",7,633.75,17637,"0",2017,"None","27050401",98.75,0.0831826401446654,"1",104
"6",100572118316,"2018-04-17",4,352.5,17638,"0",2017,"None","27050401",98.75,0.107594936708861,"1",108
"7",100572118316,"2018-04-18",9,853.75,17639,"0",2017,"None","27050401",98.75,0.0393811533052039,"1",104
"8",100572118316,"2018-04-19",7,645,17640,"0",2017,"None","27050401",98.75,0.0669077757685353,"1",101
"9",100572118316,"2018-04-20",4,386.25,17641,"0",2017,"None","27050401",98.75,0.0221518987341772,"1",98
"10",100572118316,"2018-04-21",6,577.5,17642,"0",2017,"None","27050401",98.75,0.0253164556962025,"1",97
"11",100572118316,"2018-04-22",6,548.75,17643,"0",2017,"None","27050401",98.75,0.0738396624472574,"1",128
"12",100572118316,"2018-04-23",5,462.5,17644,"0",2017,"None","27050401",98.75,0.0632911392405063,"1",133
"13",100572118316,"2018-04-24",5,481.25,17645,"0",2017,"None","27050401",98.75,0.0253164556962025,"1",156
"14",100572118316,"2018-04-25",5,463.75,17646,"0",2017,"None","27050401",98.75,0.0607594936708861,"1",175
"15",100572118316,"2018-04-26",10,920,17647,"0",2017,"None","27050401",98.75,0.0683544303797468,"1",187
"16",100572118316,"2018-04-27",11,1047.5,17648,"0",2017,"None","27050401",98.75,0.0356731875719217,"1",182
"17",100572118316,"2018-04-28",13,1105,17649,"0",2017,"None","27050401",98.75,0.139240506329114,"1",170
"18",100572118316,"2018-04-29",14,1235,17650,"1",2017,"None","27050401",98.75,0.106690777576854,"1",157
"19",100572118316,"2018-04-30",17,1502.5,17651,"1",2017,"None","27050401",98.75,0.104988830975428,"1",141
"20",100572118316,"2018-05-01",13,1127.5,17652,"1",2017,"None","27050401",98.75,0.121713729308666,"1",131
"21",100572118316,"2018-05-02",7,640,17653,"0",2017,"None","27050401",98.75,0.0741410488245931,"1",122
"22",100572118316,"2018-05-03",3,296.25,17654,"0",2017,"None","27050401",98.75,0,"0",117
"23",100572118316,"2018-05-04",5,448.75,17655,"0",2017,"None","27050401",98.75,0.0911392405063291,"1",112
"24",100572118316,"2018-05-05",5,458.75,17656,"0",2017,"None","27050401",98.75,0.0708860759493671,"1",107
"25",100572118316,"2018-05-06",8,752.5,17657,"0",2017,"None","27050401",98.75,0.0474683544303797,"1",99
"26",100572118316,"2018-05-07",3,286.25,17658,"0",2017,"None","27050401",98.75,0.0337552742616033,"1",96
"27",100572118316,"2018-05-08",3,296.25,17659,"0",2017,"None","27050401",98.75,0,"0",92
"28",100572118316,"2018-05-09",2,167.5,17660,"0",2017,"None","27050401",98.75,0.151898734177215,"1",89
